+------------+---------------+------------------+
| first_name |   last_name   |  Average height  |
+------------+---------------+------------------+
| Chris      | Young         | 78.0             |
| Jeff       | D'Amico       | 77.0             |
| Ron        | Jackson       | 75.5             |
| Andrew     | Brown         | 75.0             |
| Chris      | Carpenter     | 77.0             |
| Jason      | Phillips      | 75.5             |
| Jim        | Weaver        | 75.0             |
| Luis       | Martinez      | 75.0             |
| Carlos     | Martinez      | 74.0             |
| Dan        | Smith         | 76.0             |
| Jake       | Smith         | 76.5             |
| Jim        | Adduci        | 75.5             |
| Kyle       | Waldrop       | 75.5             |
| Luis       | de los Santos | 75.5             |
| Matt       | Reynolds      | 75.0             |
| Michael    | Taylor        | 76.5             |
| Will       | Smith         | 73.5             |
| Zach       | Jackson       | 76.5             |
| Bill       | James         | 75.5             |
| Bobby      | Jones         | 74.0             |
| Bobby      | Moore         | 73.5             |
| Boog       | Powell        | 73.0             |
| Bryan      | Price         | 75.0             |
| Cal        | Ripken        | 73.5             |
| Danny      | Young         | 75.5             |
| Ed         | Sprague       | 75.0             |
| Enrique    | Burgos        | 75.5             |
| Jack       | Boyle         | 73.5             |
| Jose       | Valdez        | 73.5             |
| Kevin      | Brown         | 74.3333333333333 |
| Luis       | Medina        | 74.5             |
| Mark       | Johnson       | 74.3333333333333 |
| Mark       | Lee           | 75.5             |
| Mike       | Darr          | 75.5             |
| Mike       | Mahoney       | 74.5             |
| Ramon      | Martinez      | 74.5             |
| Tony       | Castillo      | 73.0             |
| Bill       | Moore         | 73.0             |
| Carlos     | Perez         | 72.0             |
| Chris      | Hatcher       | 74.0             |
| Diego      | Castillo      | 72.5             |
| Gary       | Cooper        | 74.0             |
| Hal        | Smith         | 72.3333333333333 |
| Jack       | Sanford       | 73.5             |
| Jeff       | Jones         | 74.5             |
| Jim        | Lewis         | 74.5             |
| Jose       | Fernandez     | 73.75            |
| Jose       | Nunez         | 74.5             |
| Logan      | Allen         | 73.5             |
| Luis       | Jimenez       | 74.0             |
| Mark       | Davis         | 73.5             |
| Mark       | Leiter        | 73.5             |
| Matt       | Young         | 71.5             |
| Mike       | Hart          | 73.0             |
| Phil       | Clark         | 73.5             |
| Ramon      | Castro        | 73.5             |
| Ricardo    | Rodriguez     | 74.5             |
| Rich       | Thompson      | 74.0             |
| Roy        | Smalley       | 74.0             |
| Rudy       | Hernandez     | 72.0             |
| Scott      | Lewis         | 73.5             |
| Steve      | Kline         | 74.5             |
| Tom        | Murphy        | 74.0             |
| Vladimir   | Guerrero      | 74.5             |
| Adam       | Eaton         | 71.5             |
| Alex       | Sanchez       | 72.0             |
| Ben        | Johnson       | 73.5             |
| Bill       | Hall          | 72.3333333333333 |
| Bill       | Miller        | 72.6666666666667 |
| Bobby      | Witt          | 73.5             |
| Chris      | Howard        | 73.0             |
| Dave       | Schmidt       | 73.5             |
| Dixie      | Howell        | 72.5             |
| Edgar      | Gonzalez      | 73.0             |
| Fernando   | Hernandez     | 72.5             |
| Frank      | Barnes        | 73.0             |
| Gene       | Moore         | 72.5             |
| Harry      | Taylor        | 73.0             |
| John       | Anderson      | 73.5             |
| John       | Miller        | 72.5             |
| John       | Morris        | 73.5             |
| John       | Russell       | 73.0             |
| Josh       | Fields        | 73.0             |
| Josh       | Smith         | 73.0             |
| Luis       | Gonzalez      | 72.6666666666667 |
| Mike       | Stanton       | 73.5             |
| Pedro      | Borbon        | 73.5             |
| Reggie     | Sanders       | 73.0             |
| Rick       | Anderson      | 73.0             |
| Tommy      | Davis         | 73.5             |
| Bill       | Harris        | 70.5             |
| Bill       | Mueller       | 72.0             |
| Bill       | Swift         | 72.5             |
| Bob        | Barr          | 72.5             |
| Bob        | Gibson        | 72.5             |
| Brian      | Giles         | 72.0             |
| Dave       | Johnson       | 71.5             |
| Delino     | DeShields     | 70.0             |
| Ed         | Donnelly      | 72.5             |
| Ed         | Murphy        | 72.0             |
| Eddy       | Rodriguez     | 72.5             |
| Henry      | Rodriguez     | 71.3333333333333 |
| Jack       | Taylor        | 71.5             |
| Javy       | Guerra        | 72.5             |
| Joe        | Harris        | 71.0             |
| Joe        | Hudson        | 72.0             |
| John       | Gillespie     | 72.0             |
| John       | McDonald      | 71.0             |
| Jose       | Bautista      | 72.5             |
| Jose       | Hernandez     | 71.5             |
| Luis       | Lopez         | 72.0             |
| Mel        | Stottlemyre   | 72.5             |
| Mike       | Ramsey        | 72.5             |
| Paul       | Smith         | 70.5             |
| Rasty      | Wright        | 72.0             |
| Tom        | Baker         | 72.5             |
| Tom        | O'Brien       | 72.0             |
| Al         | Smith         | 71.6666666666667 |
| Andy       | Harrington    | 71.5             |
| Bill       | Phillips      | 71.5             |
| Cesar      | Hernandez     | 71.0             |
| Charlie    | Ferguson      | 71.5             |
| Charlie    | Gibson        | 70.0             |
| Chico      | Ruiz          | 71.5             |
| Doc        | Marshall      | 71.5             |
| Elmer      | Miller        | 71.5             |
| Harry      | Smith         | 69.75            |
| Jack       | Harper        | 71.5             |
