+-----------------------------------------------------------------------------------+---------+
|                                       name                                        | dropped |
+-----------------------------------------------------------------------------------+---------+
| Devens School                                                                     | 75      |
| Southbridge Academy                                                               | 71.4    |
| New Liberty Innovation School                                                     | 68      |
| Whaling City Junior/Senior High School                                            | 59.3    |
| Chicopee Academy                                                                  | 58.8    |
| Stone PK-12 School                                                                | 57.1    |
| Springfield Public Day High School                                                | 57.1    |
| Phoenix Academy Charter Public High School, Chelsea                               | 51.4    |
| Wareham Cooperative Alternative School                                            | 48      |
| Full Circle High School                                                           | 47.4    |
| Trinity Day Academy                                                               | 46.7    |
| Murdock Academy for Success                                                       | 46.7    |
| Greenleaf Academy                                                                 | 45.5    |
| Springfield High School                                                           | 44.3    |
| Resiliency Preparatory Academy                                                    | 41.3    |
| Salem Prep High School                                                            | 37.5    |
| CityLab Innovation High School                                                    | 36.5    |
| TEC Connections Academy Commonwealth Virtual School                               | 35      |
| Phoenix Academy Public Charter High School, Springfield                           | 34.7    |
| Boston Day and Evening Academy Charter School                                     | 32.2    |
| Lowell Middlesex Academy Charter School                                           | 31      |
| Gateway Academy                                                                   | 30      |
| Curtis-Tufts                                                                      | 28.6    |
| Southbridge High School                                                           | 28      |
| Boston Collaborative High School                                                  | 27.8    |
| Greater Commonwealth Virtual School                                               | 26.6    |
| Community Academy                                                                 | 26.1    |
| Greater Egleston High School                                                      | 25.4    |
| Martha's Vineyard Charter Public School                                           | 25      |
| Brockton Champion High School                                                     | 22.6    |
| School for Exceptional Studies                                                    | 22.2    |
| McKinley Schools                                                                  | 20      |
| Fecteau-Leary Junior/Senior High School                                           | 17.9    |
| Brighton High School                                                              | 17.4    |
| Boston Adult Tech Academy                                                         | 15.9    |
| The Career Academy                                                                | 15.8    |
| Leominster Center for Excellence                                                  | 15.4    |
| Bartlett High School                                                              | 15.3    |
| Madison Park Technical Vocational High School                                     | 14.8    |
| Edison Academy                                                                    | 14.7    |
| Amesbury Innovation High School                                                   | 14.3    |
| Gateway to College                                                                | 14.3    |
| Attleboro Community Academy                                                       | 14      |
| Gardner Academy for Learning and Technology                                       | 13.2    |
| Lynn English High                                                                 | 12.9    |
| Chelsea High                                                                      | 12.8    |
| Boston International High School & Newcomers Academy                              | 12.6    |
| Burke High School                                                                 | 12.5    |
| Holyoke High                                                                      | 12.2    |
| Mohawk Trail Regional School                                                      | 11.9    |
| Chelsea Opportunity Academy                                                       | 11.8    |
| Classical High                                                                    | 11.6    |
| Leblanc Therapeutic Day School                                                    | 11.1    |
| Phoenix Academy Public Charter High School, Lawrence                              | 11.1    |
| English High School                                                               | 10.8    |
| Malden High                                                                       | 10.8    |
| Charlestown High School                                                           | 10.7    |
| Hoosac Valley High School                                                         | 10.6    |
| Randolph High                                                                     | 10.6    |
| Milford High                                                                      | 10.5    |
| Waltham Sr High                                                                   | 10.4    |
| Everett High                                                                      | 10.2    |
| Narragansett Regional High                                                        | 10.2    |
